#{"t_start": 1765489099.0163326, "env_id": "None"}
r,l,t
-205.809413,800,376.323755
-97.337271,800,377.727588
-9.9972,800,378.075896
-30.022978,800,379.500518
-370.904744,800,379.874897
-136.211151,800,380.292538
-83.994539,800,382.030618
-40.038851,800,382.395726
-306.894673,800,384.182667
-282.642832,800,384.720235
-225.122298,800,385.157519
-31.984806,800,386.791927
-16.845472,800,387.231899
-56.282575,800,388.838859
-102.137172,800,389.270574
-148.668671,800,389.625118
-38.899096,800,391.144387
-187.909765,800,391.587908
-106.720248,800,392.023626
13.627958,800,393.586368
-126.179108,800,393.95651
-229.44133,800,395.624932
-4.159048,800,395.977261
-6.310487,800,396.351411
-322.385804,800,398.048017
-33.008439,800,398.484275
-173.549152,800,400.059068
-1.574489,800,400.47888
-273.037998,800,400.843246
-0.316469,800,402.530972
37.180332,800,402.909524
-22.706633,800,404.493482
-81.270525,800,404.923133
-1.595155,800,405.354671
-8.497875,800,407.034593
-69.543821,800,407.467282
-202.61914,800,409.179433
-17.369152,800,409.642265
-71.224498,800,410.132904
21.53582,800,411.829707
-170.991069,800,412.235416
-65.331239,800,412.622401
-32.461608,800,414.129046
-200.811376,800,414.520371
-10.379519,800,416.031769
39.899365,800,416.404675
-65.925335,800,416.779354
-118.0023,800,418.355952
-2.233169,800,418.753736
23.518897,800,420.341015
-32.131787,800,420.728901
-37.471776,800,421.15245
-46.53421,800,422.723658
-23.775244,800,423.078033
-90.202779,800,424.562926
-128.370373,800,424.954497
-117.659563,800,425.315974
-135.423862,800,426.856153
-107.227076,800,427.220664
-117.785632,800,427.579598
-64.738062,800,429.089044
-38.060684,800,429.475374
-56.046066,800,431.07296
-84.863387,800,431.471421
-46.56161,800,431.861166
-144.776591,800,433.497952
-9.728896,800,433.883363
13.324366,800,435.292744
-23.104202,800,435.675729
-64.695635,800,436.044486
-172.337882,800,437.584483
-86.877407,800,437.965958
-33.04354,800,439.712831
-67.23354,800,440.14076
4.61698,800,440.489437
-21.471428,800,442.175665
-32.677904,800,442.671167
-50.594316,800,444.400965
-145.93527,800,444.900183
43.789192,800,445.424308
-54.588067,800,447.450576
-15.557919,800,447.982901
-79.997112,800,448.403901
-58.209105,800,449.927127
-63.148093,800,450.280647
-58.828469,800,452.105441
-110.773039,800,452.60545
-79.733851,800,453.031684
-37.313061,800,455.013492
-17.487087,800,455.473176
-90.737487,800,457.296082
-61.553959,800,457.69654
-302.545585,800,458.103681
-1068.156229,800,459.808985
4.165389,800,460.275374
-26.681526,460,460.567378
-124.765876,800,462.31826
-1609.634111,800,462.74338
-239.812066,427,463.01124
